iter	Passed	Remaining
902	2152	231
903	2153	228
904	2154	226
905	2155	223
906	2157	221
907	2158	218
908	2159	216
909	2160	213
910	2161	211
911	2162	208
912	2163	206
913	2164	203
914	2165	201
915	2166	198
916	2167	196
917	2169	193
918	2170	191
919	2171	188
920	2172	186
921	2174	183
922	2174	181
923	2175	178
924	2177	176
925	2178	174
926	2179	171
927	2180	169
928	2181	166
929	2182	164
930	2184	161
931	2185	159
932	2186	156
933	2187	154
934	2187	152
935	2189	149
936	2190	147
937	2191	144
938	2192	142
939	2193	139
940	2194	137
941	2195	135
942	2197	132
943	2198	130
944	2199	128
945	2200	125
946	2201	123
947	2202	120
948	2203	118
949	2204	116
950	2205	113
951	2206	111
952	2207	108
953	2209	106
954	2210	104
955	2211	101
956	2212	99
957	2213	97
958	2214	94
959	2215	92
960	2216	89
961	2217	87
962	2218	85
963	2220	82
964	2221	80
965	2222	78
966	2223	75
967	2224	73
968	2226	71
969	2227	68
970	2227	66
971	2229	64
972	2230	61
973	2231	59
974	2232	57
975	2233	54
976	2234	52
977	2236	50
978	2237	47
979	2238	45
980	2239	43
981	2240	41
982	2241	38
983	2242	36
984	2243	34
985	2244	31
986	2245	29
987	2246	27
988	2248	25
989	2249	22
990	2250	20
991	2251	18
992	2252	15
993	2254	13
994	2255	11
995	2255	9
996	2257	6
997	2258	4
998	2259	2
999	2260	0
